"","AEW541","Panobinostat","Nilotinib","Sorafenib","ZD-6474","Lapatinib","PD-0332991","Nutlin-3","Erlotinib","X17-AAG","PLX4720","LBW242","Topotecan","Paclitaxel","RAF265","AZD6244","PF2341066","TKI258","PHA-665752","Irinotecan","PD-0325901","TAE684","AZD0530"
"ACH-000376",2.07944154167984,-2.23584759762347,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.76092244542492,2.07944154167984,2.07944154167984,-1.0476743412088,-3.2489425835978,0.819398070526139,2.07944154167984,1.49428774501131,1.82639437915305,2.07944154167984,-1.62501663807616,2.07944154167984,1.58440010319522,2.07944154167984
"ACH-000609",1.7037150763157,-2.3126565805864,2.07944154167984,1.83084931260031,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,0.199288538359304,2.07944154167984,2.07944154167984,-2.78529291990577,-2.67780643447322,0.772283450465943,2.07944154167984,2.07944154167984,1.06770616036697,2.07944154167984,-2.07805133246862,1.93088530208207,1.10618740853043,2.07944154167984
"ACH-000764",2.07944154167984,-2.26763117158702,2.07657653772264,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-0.85362414922068,2.07944154167984,2.07944154167984,0.967854418462439,-3.93252698261267,1.67414364046682,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,0.671970942882834,2.07944154167984,2.07944154167984,2.07944154167984
"ACH-000790",2.07944154167984,-2.06371870778741,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.16379407905899,2.07944154167984,2.07944154167984,2.01138113745299,-1.38452769060166,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,0.657023929633719,2.07944154167984,2.07944154167984,2.07944154167984
"ACH-000112",-0.438056902890002,-4.71120103738183,0.500533357437551,1.62030055947552,2.07944154167984,2.06075391385565,-0.921907285221667,0.372062663581923,1.70049541203521,-1.7704620479286,-3.39412681712089,2.07944154167984,-3.17861622846412,-5.99146454710798,-1.8508503023999,-5.04455181140116,1.04907226727601,0.18157645927773,-0.799241380854089,-2.69671679248872,-5.97456259328863,-2.12778662211373,2.07944154167984
"ACH-000099",-0.779887556455507,-2.83566423303242,2.07944154167984,1.55128587030903,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,0.575882958296616,2.07944154167984,2.07944154167984,-3.15629561058744,-5.97456259328863,1.17723572935087,2.07944154167984,2.07944154167984,0.292722608827224,2.07944154167984,-3.16196408728367,0.291182777078926,-0.177244373927688,2.07944154167984
"ACH-000748",1.41422211110306,-2.1485158336242,1.77286510277317,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,1.86509078085906,2.07944154167984,-1.16353302043886,2.07944154167984,2.07944154167984,-1.62818116996064,-4.09497804282858,1.25716313184777,2.07944154167984,1.78734471686699,2.07944154167984,2.07944154167984,-1.19606401732671,2.07944154167984,2.07944154167984,2.07944154167984
"ACH-000017",2.07944154167984,-3.44883017334558,2.07944154167984,2.07944154167984,2.07944154167984,-1.62764345215386,2.07944154167984,2.07944154167984,2.07944154167984,-3.30896104856049,2.07944154167984,2.07944154167984,-2.76673589947117,-4.50401647654444,1.08563331770443,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-2.71587292900855,2.07944154167984,2.07944154167984,2.07944154167984
"ACH-000400",1.77514744713341,-1.99926060109937,-1.83755210946458,2.07944154167984,1.15675847731267,-0.334605775144632,2.07944154167984,2.07944154167984,2.07944154167984,-2.88565149986337,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,1.64024018066874,-0.0801424714831132,2.07944154167984,1.98506637180496,2.07944154167984,-1.19606401732671,-2.05954029963841,-0.0941985220248591,1.1939340135573
"ACH-000087",-0.13840973641785,-3.8270990305472,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-0.574131697567764,2.07944154167984,2.07944154167984,-3.17322427146476,-5.97456259328863,-2.3419207863573,2.07944154167984,1.23439691838788,0.920709152262506,2.07944154167984,-3.60516721663852,2.07944154167984,-0.345763283232005,2.07944154167984
"ACH-000361",2.07944154167984,-3.19439281960977,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.06636100095499,-1.4690176042206,2.07944154167984,2.07944154167984,-0.188535318688007,-5.99146454710798,-1.74884800221664,2.07944154167984,2.01718789143555,0.732819031358411,2.07944154167984,-0.704123191182815,2.07944154167984,1.44026127988635,2.07944154167984
"ACH-000145",0.839537409834921,-2.75261842272686,1.77286510277317,2.07944154167984,1.88406256090782,1.96523427000884,1.85147904009532,2.07944154167984,1.49186057504538,-1.30097498175125,1.86413835500409,2.07944154167984,-1.75170530733584,-3.97518673868646,0.870303281972153,2.07944154167984,1.81209253539182,0.790948027893366,2.07944154167984,-1.19606401732671,0.843024558539136,1.59251107664678,2.07944154167984
"ACH-001190",2.07944154167984,-3.4036205150801,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,0.928869689216,2.07944154167984,-1.31006626259466,-3.61867022935132,1.25078800353532,0.880983561883197,2.07944154167984,2.07944154167984,2.07944154167984,-0.156014374761618,-1.45321028951856,2.07944154167984,2.07944154167984
"ACH-000822",1.4824745203369,-2.30555945201751,1.93197597595434,2.07944154167984,1.39333008005096,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.74672814924176,1.63987150863084,2.07944154167984,-0.944396990642938,-2.28148751039687,1.83803865304711,0.838385275318142,2.07944154167984,2.07944154167984,2.07944154167984,-1.73156605566265,-2.52257553309231,1.43359336596843,2.07944154167984
"ACH-000810",1.66508017583195,-1.97339135190189,2.07944154167984,2.0049445414799,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,0.592366157998597,-4.18785542976006,0.182943575800016,-2.39207707140567,2.07944154167984,2.07944154167984,2.07944154167984,0.150837411869137,-4.4153328601431,2.07944154167984,2.07944154167984
"ACH-000640",1.74906309693659,-2.67358196502247,2.02107442883393,2.07944154167984,1.72786381465193,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,1.62893389585711,-3.63056024536827,2.07944154167984,2.07944154167984,2.00906145765476,1.97483537601183,1.84275468397762,0.840735634863239,2.07944154167984,1.82591815408661,2.07944154167984
"ACH-000730",1.31931692985743,-3.36885674357849,2.07944154167984,1.9564934113897,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-1.55808529605613,-0.996657783183069,2.07944154167984,-1.00429263654712,-5.99146454710798,-0.647407450905358,-1.77863454708276,2.07944154167984,1.8233988069484,2.07944154167984,-1.77530106880669,-4.30958222261213,1.34607721046762,2.07944154167984
"ACH-000665",0.675074062729677,-2.60308665172507,1.77286510277317,2.07944154167984,0.357299953879321,0.389636578614125,1.85147904009532,2.07944154167984,-0.0354703920072002,-3.61739519803785,1.80975758554966,1.20288994084084,-2.31102822614053,-3.95547757672314,0.870303281972153,2.07944154167984,1.59629004721629,0.609970751113621,0.280327801220404,-1.19606401732671,-0.145384003837661,0.678392209893228,0.289170425055342
"ACH-000363",2.07944154167984,-2.48569183396443,2.07944154167984,1.56401493753467,1.33169852882609,0.862872000133529,2.07944154167984,2.07944154167984,1.2633539147613,-2.15181862745128,2.07944154167984,2.07944154167984,0.434477608403161,-5.16549527541835,-1.68231610415478,2.07944154167984,2.07944154167984,1.47677534821171,2.07944154167984,0.98094273369755,2.07944154167984,1.72365472109992,1.48361133256115
"ACH-000260",2.07944154167984,-4.04314735445072,1.77286510277317,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-0.953875176045976,2.07944154167984,2.07944154167984,-1.39248512843686,-4.87076387945253,0.870303281972153,-1.5933405676974,1.07627802582523,2.07944154167984,2.07944154167984,-1.19606401732671,-2.8692297456237,1.11723254632569,2.07944154167984
"ACH-000312",2.07944154167984,-3.79957068616056,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,1.36421268147571,2.07944154167984,2.07944154167984,0.157012882101289,2.07944154167984,2.07944154167984,-3.00571925787889,-5.23642070705585,1.83894421126975,2.07944154167984,0.45914720027838,-0.192317548669571,2.07944154167984,-1.88705811569889,0.901706596492544,-0.112417607344601,2.07944154167984
"ACH-000366",0.262364044467467,-4.35385496881861,1.77286510277317,2.07944154167984,1.78749836728089,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984,-0.450776475738132,2.07944154167984,2.07944154167984,-2.03511503147449,-5.11426364415282,2.07944154167984,2.07944154167984,1.06764468289873,1.72660421804049,2.07944154167984,-1.19606401732671,2.07944154167984,0.727119790227614,2.07944154167984
"ACH-000341",-1.80250041319342,-2.9520605768946,1.77286510277317,2.07944154167984,2.07944154167984,2.07944154167984,1.85147904009532,2.07944154167984,2.07944154167984,-0.00671310354224142,2.07944154167984,2.07944154167984,2.07944154167984,-0.83869249795514,0.604101060702548,2.07944154167984,2.07944154167984,0.943413215690978,2.07944154167984,-1.19606401732671,2.07944154167984,1.3099094914551,2.07944154167984
"ACH-000149",-0.16220514932016,-3.78531493883641,1.6497030503705,2.07944154167984,1.30031439268191,2.07944154167984,2.07944154167984,2.02967702272466,2.07944154167984,-1.43955366684184,1.93165341071703,2.07944154167984,-1.21021743148816,-3.69475717411631,0.455815159148211,2.07944154167984,0.64329050531971,1.00357063550728,2.07944154167984,-1.19606401732671,2.07944154167984,-0.958806362912408,2.07944154167984
