,ADCY9,ADCY6,DYNLL2,DYNC1LI2,DCTN6,CREB3L4,AQP4,PRKX,RAB11A,DYNLL1,DCTN2,AQP3,CREB3L1,ADCY3,CREB3,AVPR2,RAB5A,CREB3L3,NSF,DCTN5,AVP,CREB3L2,RAB11B,STX4,PRKACA,PRKACB,PRKACG,CREB1,GNAS,DYNC2H1,DYNC1H1,DCTN4,DYNC1I1,CREB5,AQP2,DYNC2LI1,ARHGDIA,ARHGDIB,DYNC1LI1,RAB5C
SIDM00098,-0.027993144139069646,-0.41599664772377337,1.1199466200146495,1.7975850361079144,1.5437313941560964,0.08909580948250156,-0.9015836846971811,-0.21048856730471127,1.437543663722943,3.560418407536853,2.0245526103422944,-0.7501563903128379,-0.7636398043414169,1.2025335526193892,1.6167703317464153,-0.74836713492992,1.5440026183805633,-0.7744945859427202,0.3126741110390323,-0.13967640378821522,-0.7602635351649747,-0.6173266986633404,-0.40944141849723664,2.000747885032452,-0.49171556446967946,-0.09262240124446872,-0.7343614333780042,0.686901132732621,3.296301754517434,0.5682359833940137,2.138327268384171,0.49058180045795147,-0.797848343183615,-0.09484767069988555,-0.7589882150450109,0.32681181183142505,0.9729881692490939,-0.370492457662402,1.2497932301647263,1.2636928587144056
SIDM00225,-0.5772367436607949,-0.3395311463005742,0.6150644124269858,1.6267032657024256,1.3768288160588416,0.44191618904336216,-0.8849663283739103,-0.2242276810265617,1.605981601348833,3.559276762512804,1.7203877926034772,-0.926958655555007,-0.7632391458370267,1.2799950175166515,1.2889046411675704,-0.9459439170516604,1.1582507035353937,-0.7981809050668021,0.21250770219983303,0.07884124020084068,-0.8911126569075921,-0.455321798268315,-0.38494716782062777,0.8180422748518308,-0.6204290670227681,0.16266365001529862,-0.7986584855898881,1.042381766286783,3.7102679442202877,0.6085032626249357,1.5178016821268916,0.13565481996913653,-0.7409972756490311,0.2517277256138413,-0.8104728348676894,-0.011316165513226882,0.6758507174288885,1.7472643905819338,0.9928223563569177,0.9709958768497777
SIDM00846,-0.1028978268198648,-0.09333417930599452,0.7753302869809623,1.4597339819765625,1.6249955116090602,0.8058885535200213,-0.9207485547934448,-0.183706179605343,1.777191562859449,3.2889165416633865,1.7707065593541185,1.81124576369633,-0.7227081922599212,1.3703203669897301,1.8702173388286794,-0.9251208074507453,1.1105650394555924,-0.82228422052249,0.031787580478070045,-0.014533699932637789,-0.9465100827218493,-0.482023510268959,-0.488426084589851,0.8576657713739746,-0.4814328097931527,-0.0077754134715983195,-0.6451276448687552,0.5128067786766503,3.385078578005327,0.29043465479363784,1.258698769075967,0.1834109071073031,-0.8235243106654195,-0.5022163568610594,-0.7707497456195221,-0.07891771263824182,0.7120322560159515,-0.48212837932816693,0.6680389996254061,0.8203087205530074
SIDM00291,0.03326586094312384,0.04924003796153136,1.0905024524375402,2.133195341239434,0.6068867432076872,0.7789034454208963,-0.9125345364945624,0.09278333378152949,1.790841048722467,3.319011960872571,2.241127880722843,-0.8645944729753171,-0.6304632703942178,1.3224217177528756,1.204282756480692,-0.827298446029787,1.325837169594903,-0.7980921188434025,0.1706738224806002,0.3099852209004963,-0.9502821955066549,-0.6031013185554324,-0.4998161392177963,1.2511416214199012,-0.7560284637296919,-0.11111561826183174,-0.7340416899383082,0.6214280113536542,3.6210234142298496,0.14833871154165693,2.2983527110436985,0.42524320587448133,-0.8622700981182343,0.2125633821436769,-0.7816244220066781,0.07595183070359056,1.1420545839924783,-0.2690092135354125,1.342587002639522,1.4881428255956597
SIDM00520,-0.17032524321825324,-0.2605358055105288,1.0370169020062248,1.7639646148207762,1.4013677963779745,0.22232043168094737,-0.9316116247372547,-0.3428235391359374,1.8346967003182606,3.4677385896019657,1.8657890202745722,-0.8941992620465408,-0.4686949688701792,0.9695757116294055,1.5229401646458325,-0.9249073816645424,1.3694903408329668,-0.7865999133015972,0.2534016922362504,-0.08999055128685184,-0.7876064428397257,-0.5268450370895352,-0.5307227132787228,1.4117591042911772,-0.5723467545849023,0.14052909972239003,-0.7684349717577997,0.6378087109784609,3.083496601418055,1.4485239402755596,1.9466006141647958,0.25620779285485057,-0.5717627321583822,-0.5646306759794436,-0.7210140197046926,0.0001717458844461922,1.122392712666633,1.0627963696085767,1.0708655845860553,1.1178090917251364
SIDM00003,-0.37487856781000295,-0.25834070906080764,1.3263710628895367,1.7372265730020222,1.3560475020814298,0.418654367243964,-0.9123071942527154,-0.46800162160646636,1.934216026741561,3.5677397814555674,1.6923116205953288,-0.8839881267342111,-0.8027016482137994,1.400776928515612,1.2853740366972015,-0.8675317142349616,1.1629281265974476,-0.8143738461624731,0.1343463919984163,0.20021331184864022,-0.8397205886349266,-0.38039272014276143,-0.5607581774611231,1.1752038786256211,-0.6444235705150996,0.34367177216876105,-0.7318535169809266,0.62049754718021,3.201048708339712,1.2158599719436314,1.5623706139147862,0.35278738619354355,-0.3358018112996049,-0.23754567912374838,-0.6770178514485554,0.015566770801963403,1.0329745963594374,-0.5545914877171613,1.0462391498632442,1.5068945931162712
SIDM00136,-0.7289446051690717,0.27431479466987,0.8305266525177686,1.6221797669845939,0.9982170708330305,0.7580765965314754,-0.9531795138959605,0.21785454032292356,2.144957395463711,3.347749535338096,1.7223308915265967,0.6499813572996979,0.5306933905613317,1.3339745952397635,1.2969098257106095,-0.7568128058846622,0.9517884736821157,-0.7594798397075675,-0.00682274248539169,-0.3292207786081769,-0.8553833601079356,-0.7736931944234243,-0.5323935555111039,1.0054610975203837,-0.7090801592738902,-0.5407250785435349,-0.7653283584594142,0.8006831223689803,3.4060243526634943,0.42327083820050876,1.317154769354202,0.23902913716417457,-0.7440441100409813,-0.4590142280306703,-0.7580023044115437,0.21421587203073475,0.6020059080047339,1.1142094683682378,0.28279356851082293,0.9377498785109937
SIDM01155,-0.2617644183947265,-0.295033752726838,1.3686559076672427,1.8206043300615593,1.5034001085801774,-0.2092362786431252,-0.9138582133384464,-0.27246992326687947,1.263423762448947,3.5824557380046573,2.0208352560158236,-0.8480159117572609,0.0016804185848891318,1.300262115253062,1.948378145266176,-0.7962675093728523,0.9620175900240943,-0.8876254287833532,0.2880463125685798,0.09127571118094313,-0.957874426200811,-0.4996625089118267,-0.5777717166020795,1.453535307479022,-0.658326298425845,0.010045186855451058,-0.7489081981249283,0.7844178823017882,3.2900102192002634,0.6478778388458861,1.7526439340679558,0.1932304536521499,-0.9446638189456654,-0.4864846325824644,-0.6789285122770546,0.010283157834676968,0.9215429569404164,1.2180103708273995,1.114188386408602,1.0765779551083652
SIDM00224,-0.07597450562875017,-0.3227929464130043,0.5113562112373093,1.9509235356279917,1.3286252729476546,0.6039188322215094,-0.8999518764148376,0.5909800497587651,1.8855334148092822,3.568723716437918,1.8434503569559204,-0.8515326922573064,-0.7256085679210944,0.9523541934512448,1.0538942490255054,-0.856627188767835,1.4763839054906123,-0.8652921727062419,0.3336470336641433,-0.13507460929698512,-0.852685148974759,-0.5630156674773436,-0.3770274250108112,1.3311623834368025,-0.5793583414704804,-0.006877373755494596,-0.7564944180185348,0.9586899664902966,3.278367408287927,0.60591113240123,2.3451109481674384,0.4434999490507898,-0.9162101353628207,-0.2573908229274308,-0.7642625308730331,0.7552129915789721,0.9021997401581353,-0.5664076947707014,1.1147729452129942,1.180008632583249
SIDM00783,-0.35571098380630484,-0.42290446045730395,1.2678889237634365,1.264511569527505,1.7424964119685316,0.43793169100323126,-0.9442863325188877,0.3048708458953266,1.7020132830448715,3.2411249733836884,1.7109530172633314,-0.6798147367884567,-0.7600190823014674,1.3168216708595537,1.125359066356702,-0.8910028170703531,1.2753237327649074,-0.8594359192342487,0.23410437878160412,-0.3858824971173464,-0.8889268970860236,-0.6921358481399669,-0.4507677935774608,0.6654019162466162,-0.6805081875931139,1.0667548170933379,-0.7925465880429629,0.7205406532106897,3.1844879629120895,-0.08118618750822955,1.724671512378067,0.4900547280494441,-0.9049351572707584,-0.7146592208721455,-0.7515614576759244,0.16397414620782358,0.8119859879990815,-0.5937814310077186,1.0747113002740194,0.7635504854754045
