,XDH,CYP3A5,UGT2B28,UPB1,CYP3A4,UPP2,HPRT1,CDA,GUSB,IMPDH1,IMPDH2,CES2,UCKL1,UGT2B11,TPMT,NAT1,CES5A,CYP2A13,UGT2A3,CYP3A7,ITPA,TYMP,DPYD,UMPS,UCK2,TK1,UPP1,UGT2A1,CYP3A43,NAT2,UGT2B10,UGT2B7,UGT2B4,UCK1,UGT2B17,UGT2B15
SIDM00520,-0.7116346343668778,-0.7727508210290434,-0.8439004859579495,-0.8750770719724552,-0.8998750569656598,-0.9327143974311991,1.977142956073652,-0.7989268433856922,2.0767773766885274,-0.10128485998520266,2.3332285430731057,0.567967419739903,0.7330135848314622,-0.9048549296027879,1.1652188933680365,1.0871569292729446,-0.9847479762880714,-0.6816900172297546,-0.9993698764303643,-0.840555950333411,1.4681540697057913,-0.8166438480560848,0.48618756895917703,0.6697968792381104,-0.33478260503833535,1.443492114887123,0.7502439642052929,-0.787650250581698,-0.8665841468498904,-0.6304689796193184,-0.8210466425134307,-0.5963948515682339,-0.9289567653492521,0.39445568370750894,-1.0457188286413166,-0.7916510585013975
SIDM00003,-0.8022606160131236,-0.8142711523517138,-0.842863571334719,-0.7673693854009398,-0.9168598311967264,-0.9156155529032685,2.0190238836509047,-0.912584101255037,2.029703242430621,1.2262253503883338,2.655258118598477,0.5336710339064017,0.825520492142979,-0.8558132568956126,1.1425041503781463,0.9549192767832965,-0.8746104399699535,-0.5492629026193522,-0.9163647929601066,-0.8758713847615343,2.014226854155786,-0.7175598246026136,-0.46230410509509445,1.1705632540752204,-0.07881896322166052,2.1223842238975217,1.7127113248391828,-0.8521872642486024,-0.7964393987621197,-0.7877412560777394,-0.8180382443412909,0.9786392985454025,-0.9070486738668441,0.7369009945094744,-0.980226690895956,-0.8021889460367159
SIDM00136,-0.5695983975015463,2.0581628443934035,-0.7841512308553751,-0.7841063653690016,-0.8575290424988352,-0.9559893601044939,1.803406058414083,-0.24223226373729032,2.196124782454679,0.8386448509691015,2.36460476591806,0.5094738765410988,0.989780234544559,-0.9100708476160055,0.7266302109642925,0.03993631603953148,-0.9878622696961092,-0.7439982885665394,-0.9270723867110274,-0.7218816618909807,1.8516665163390291,-0.6956781978837625,-0.48892983186321265,0.8238863759166085,-0.3817740930012836,1.6746102355385195,0.5066438209150363,-0.826009192600707,-0.8412662412700648,-0.9153487691667088,-0.8102448073182247,-0.7387563956006166,-0.9606642770870718,0.09396893841613235,-1.0666225894941048,-0.7358603953429557
SIDM01155,-0.42041170902320707,-0.8671363447193735,-0.9111893962893866,-0.7969556522441075,-0.900094120733386,-0.9364686163300898,2.2537659232203513,-0.7662252240839512,2.3213598964902773,1.1392267334056305,2.456202722499442,0.4196857690868198,0.5125913748925008,-1.0642161797905,1.0145660850900133,0.8697783480360315,-0.9155043344665571,-0.6829570901727462,-0.9425439615661786,-0.8810527907799645,1.7597114023537352,-0.8544624768784909,0.048647699078475506,0.736628832497892,-0.43443056871460384,1.9623833586208734,1.564609353795651,-0.825002712491636,-1.0079670945749857,-0.7341626074438979,-0.9589686671647454,-0.7814136194175367,-0.9989817995439144,0.28421428751218053,-1.0216233249121427,-0.8582816177113044
SIDM00224,-0.797612965792942,-0.8551482715186663,-0.7847538670920299,-0.7014967448662955,-0.8857606315765797,-0.9970955868643473,2.1779412994089977,-0.9174214690523997,1.8608371612091912,0.3956898796201217,2.345256088942026,0.5276290026298441,0.8882666965126205,-0.9330778098876744,0.46208794197745534,0.6144066647491483,-0.8894702757209074,-0.765400522458386,-0.8917977852994857,-0.772915495080082,1.8087917345341002,-0.7743062384381112,-0.2676256150494923,0.8836170464768712,-0.5203824417296804,1.563085936081276,0.958271015638652,-0.7841900330013235,-0.8598912269343965,-0.7995955502877274,-0.776996473750707,-0.7983596650833782,-0.9006048103984529,0.24177084124171572,-0.9975788159336644,-0.8499012219206994
SIDM00783,-0.7889530910947321,-0.8860688080323825,-0.8563349385401041,-0.6048593888073803,-0.8456170027780965,-0.9197700880350638,2.2053087751344562,0.14227029317078227,1.7659904388971224,0.5994263037516208,3.156558332109678,0.5622012348790276,0.7039915357681366,-0.9878948936152601,1.0015280727938562,0.3368098886041652,-0.9055253068537972,-0.6984013060702072,-0.9622665672830875,-0.9352909020850501,1.5010977608738396,-0.6657890422663079,-0.7123426803514757,0.7547308795375467,-0.31343191410336513,1.479707528709797,1.3317602452051305,-0.8279361924005672,-0.8277291616296024,-0.698537800377767,-0.928351254999872,-0.868463133612253,-1.0305500693969691,-0.22297763936948875,-1.0749289135382132,-0.9076182501500137
SIDM00490,-0.804473320873774,-0.7811534573516371,-0.8713347252735192,-0.770423550496965,-0.9346323279366116,-0.9521185890972259,2.2936399366591615,-0.8704088718814933,2.5198985286230404,1.0990976668772563,2.039528034851865,0.7939164443111051,0.9652259776145984,-0.8862851550538784,0.9892525782648274,0.31241150658102074,-0.9598939790532026,-0.8073606470837866,-0.9501379735298777,-0.8551976400222067,1.6931812207606511,-0.7789665840462818,0.06859622381984141,0.6609487944468322,-0.583479139796074,-0.2808816156542609,1.0236602332934754,-0.8027181552868691,-0.9640312445983517,-0.8023110885094507,-0.8114500734131298,-0.8923993435326821,-0.9437596466361535,0.6178647300683485,-1.0320471941556182,-0.9160722388246149
SIDM01090,-0.8335129409037777,-0.6971515402848092,-0.924016148283278,-0.7450515813593555,-0.9157835376604906,-1.00590290926569,2.4671844961927936,-0.9549574608705704,1.9802791176635803,1.1507164426945604,2.649401993963868,0.7834695428322187,1.0793189047346738,-1.0717893607495679,0.6792263216732873,0.8327123265104109,-0.917045910186124,-0.6038418643143502,-0.8702663976170956,-0.8039920637974968,1.947777414807753,-0.6554690815084405,-0.8477330517334649,0.9430909888396509,0.006811867411057053,1.0346154024726735,2.5818497674467644,-0.8250779791139621,-0.9602552181694858,-0.7051238157997125,-0.7966897061472887,-0.9275460383870789,-0.9708061109573043,0.7865285975472276,-1.0148366197153063,-0.8398910353686605
SIDM00394,0.07935614042151401,-0.8159451658223041,-0.94882350948154,-0.7886777335699127,-0.9179457106357997,-0.9221561139397839,1.843323294514881,-0.06698883151137448,2.561641780692538,0.6720023620907856,2.6744645332567134,0.25988052575156595,0.7097080388329611,-0.9549157051016732,0.5724697294705305,-0.35681301399422527,-0.8394416003277698,-0.5628771815080525,-0.9654374357192714,-0.7970874667226117,1.0113998365619006,-0.6104363281255173,-0.6795414090796239,0.6024568613544252,-0.4416927539698297,1.6270163414710477,1.5790535143401516,-0.84766862699277,-0.7774706471477375,-0.7509208249579222,-0.7832830538151887,-0.8494940598129181,-0.9072965117983038,0.019958826433500994,-0.964797276637937,-0.8409007858948206
SIDM00538,-0.5352472199061966,0.9509207666069468,-0.6493491205891984,-0.835593060069131,-0.8578008488173632,-0.9972300184187584,2.1117941242055833,-0.6172376288532674,1.7423127241185834,0.37931300867163725,2.264348763891984,0.4920954581126142,0.8536168587145017,-0.9351311445093881,0.9532126134740181,0.8185996639270017,-0.9463909988453197,-0.6951776404991448,-0.8997855549059016,-0.7432186278657835,1.3778472473882892,-0.3762633401535846,0.29335304273705204,0.5316869054763244,-0.06419942886761248,1.4879507451214542,0.6700350306057868,-0.8646439699011033,-0.7967714242614703,-0.6784528965673302,-0.8721733938829516,-0.807480261373322,-0.9830220749985682,-0.10646561239356614,-0.9552191115404352,-0.830848380583325
SIDM01140,-0.7427716453505837,-0.8036224912241705,-0.7256120331975966,-0.7532191133816455,-0.9562134943190824,-1.017830419285549,2.2722112581377227,-0.7605560328379916,1.8326611307038447,0.24907094178420253,2.505513120594206,0.16970659262817964,0.4152356768279171,-0.9465145470684634,1.0877582863372794,1.6450724724000712,-0.8968201201639744,-0.6309945972363828,-1.0071679161879967,-0.8881162984184733,1.606547666498175,-0.7531765122890397,-0.5577917240221648,0.9166584760896701,-0.38153711030088927,1.3083439641516155,1.0703093959454948,-0.8417396975465128,-0.8269565981497494,0.020672668766657624,-0.8457216956598695,-0.8545906200805021,-0.9546767905430819,0.04150133478996118,-0.9742966239112462,-0.861642413178452
SIDM00101,-0.18756425465712984,-0.8211212708761282,-0.8331539007934171,0.5680178055103628,-0.9355835104454228,-0.9746189159760483,2.1513124027272488,0.24737693055756235,2.4484808110551493,0.03549559977410277,2.671024392939478,0.6344617187418436,0.5874894820435199,-0.9045498839639131,0.6598389180794718,0.8095742277469624,-1.007260800804971,-0.7513718364628027,-0.9599664922941477,-0.8927153860752969,1.5824058372520409,-0.8106316713673655,-0.4618589547700095,0.39566167374129757,-0.1858607521162363,1.721682205526589,0.5792731325100595,-0.8483610743690564,-0.9085893303259145,-0.8117396436358106,-0.8022941178653427,-0.7956560597509251,-0.9441076265740588,0.8591516399656256,-1.0680895640395724,-0.8587787185442944
SIDM00114,0.8467009413281652,-0.8248875558891527,-0.8089516935038272,-0.7351018809725582,-0.8463907781108692,-0.9277881757192078,1.7432841094151246,1.4329403193724064,2.041682458375211,0.7526464381743562,1.5971784008639747,0.5249110094152009,1.0871007319929138,-1.071768811203672,0.5574559423593205,0.7956049271807629,-1.0003617008742975,-0.6778494079940401,-0.9553113797573294,-0.9100161250045169,1.6225348111582865,-0.700697465581381,-0.02098315691829335,1.0123946256041678,-0.5974639807090674,0.6306518799458122,1.7743438541057002,-0.8576414502059251,-1.0052533434569673,-0.7259289433058609,-0.8488432669073167,-0.926365458204412,-0.9184289321404353,0.2225312910025764,-0.9467355457420803,-0.7570825256011017
SIDM00102,-0.7891169125569175,-0.6159598461421076,-0.7415396324587721,-0.7822551534550874,-0.8794680753102448,-0.9389440435599609,1.9612840436441001,-0.7509494178586807,1.963214547591632,0.5967403878619658,2.1428841222853814,1.1323336714873506,0.7217913404343272,-0.9186025456556134,0.5862540740136162,1.0266912852814616,-0.887946019400004,-0.6688501891358846,-0.8662314864751014,-0.8390208841053,1.7218987519051105,-0.677721903150731,-0.05072395888389859,1.1234725684505886,-0.1496908181068964,0.957801256423325,2.2066261765302455,-0.8450878698247278,-0.8708662409558044,-0.6237194925796383,-0.9543875254490131,-0.8118772177606169,-0.9923503995927493,0.38750632563792153,-0.9981775532989938,-0.7365161869125472
