,GALNT15,GALNTL5,GALNT6,GALNT5,GALNT16,GALNTL6,GALNT13,GCNT3,GALNT10,ST6GALNAC1,GALNT9,GALNT7,GCNT4,GALNT11,GCNT1,GALNT8,GALNT14,B3GNT6,C1GALT1,GALNT18,GALNT12,GALNT2,GALNT3,GALNT1,ST3GAL2,ST3GAL1,B4GALT5,C1GALT1C1
SIDM00098,-0.8318111776137256,-0.7013339324636354,-0.9293955475990923,-0.962417074285145,-0.7221493107781792,-0.9277550865591698,-0.5264513363423367,-0.7294411274732905,0.412125842861234,-0.9322515337639138,-0.5637970359149307,0.7060841219913376,-0.9229950897467745,0.2541927083967035,-0.4450823635280911,-0.8016694760715988,-0.4011548824238959,-0.7261186531644166,0.5791887334769271,0.31120712783066096,-0.25935043285253073,0.09991670425816167,-0.8749528001805433,0.9799669588221217,-0.28162086300405614,-0.20753462825884322,0.33375151689739324,0.798299023407844
SIDM00225,-0.8692408447239032,-0.8055883977437676,-0.17596433631208494,-0.9195172569993645,-0.7661521640484291,-0.8622419352954752,-0.7420849511037146,-0.752604254272052,-0.5631644066289555,-0.8887603885288935,-0.8488820706457242,0.9404444404356074,-0.8699416964988084,0.4393127629434221,-0.37483667323653436,-0.7437595725158821,-0.527648441173076,-0.7228400136209058,0.9289153486323974,-0.3485401454015452,-0.4984452475791249,0.4048724663029783,-0.8666614145826775,1.4504167616179982,0.17048148036137203,0.8309240862820799,0.18345976824554278,1.279302385743422
SIDM00846,-0.8616743949297927,-0.7904218979232851,-0.7513370397459975,-0.8875759973021325,-0.7614684846359149,-0.5685667713309693,-0.5539148996225788,-0.8435376112587591,0.23965071344255587,-0.9133297713375204,-0.7912135376150434,1.8312311352070811,-1.0262262764078276,0.06316947059608823,-0.6379497458876345,-0.7522864737432763,-0.6962718177004505,-0.7221623993826412,0.6200222080109906,-0.3934973897128622,-0.3568566508973183,1.1600650918529487,1.0735500270776304,2.362131693787925,-0.4169894093052444,0.3246236839116918,-0.09091466825165312,1.4927025854904927
SIDM00291,-0.9116559744802102,-0.6950712494592556,-0.7212598424559352,-0.9383032882987664,-0.7233129588322925,-0.8986053210812808,-0.847572199851266,-0.8003299069299641,-0.47495286201336584,-0.8528616135915047,-0.8248996844770133,1.1020347295476718,-1.0151798617886605,0.46125407324342693,-0.9067957486863969,-0.8559831192714183,-0.8135999349626661,-0.6734640153401011,0.9692835752549706,0.9082904398603089,0.723221079128808,0.39998250236261573,0.39052314683595213,1.0736670048454957,-0.23523491314350395,-0.1693771916229433,0.7669229158814994,0.2981715336991841
SIDM00520,-0.7518880528717673,-0.6647076939105044,-0.849401700778961,0.43230804507353227,-0.6645806238141743,-0.9178980819196932,-0.6406772919499218,0.029047026704943513,0.28112113862331695,-1.0010087186232797,-0.43008237451462494,1.0795597774302887,-0.8062478038555223,0.3977711892553261,-0.21679071156746418,-0.7705828761958885,-0.7465708139026925,-0.7080723636480166,0.6978792513720361,1.1080155648729897,1.4550209289075877,0.30993269814334307,-0.7437922299147266,1.3812113156870602,-0.510732817996365,-0.029772831458240532,0.3190088242750662,1.2021593962002661
SIDM00003,-0.7583907105439567,-0.7329150421744626,-0.878700420404213,-0.7968703211577157,-0.7068206121866161,-0.8738653791385473,-0.8827224705980349,-0.7917812122750606,-0.1839369669132803,-0.8774904614917881,-0.8195364401950487,1.159453464430726,-0.7826026243317026,0.49296467985188147,-0.7499499668705222,-0.7515618330404955,-0.7926158027363919,-0.674532726956979,0.8292771317037542,0.5387819929045514,0.005745011862785351,0.17498136800667535,0.24981966596134356,1.7786575365977915,-0.1731519907107335,-0.39517659155968077,0.2236175984329779,0.8347166334192963
SIDM00136,-0.8453046574861102,-0.7591375380385257,-0.6367248006155403,-0.6290311720619917,-0.7259079566148439,-0.8880395815142738,-0.896141026933792,3.065639063194839,-0.433977731165749,-0.44416998956242487,-0.7897333792225362,1.532772104988959,-0.7935218582184995,0.17633602062136375,-0.7573570211964112,-0.7828718354995022,1.3645964845246132,-0.6276020696649066,0.5664972619381712,-0.4311043930315043,1.8190715546539231,-0.29791704089211135,2.092647038749124,0.7561211135198432,-0.20089299964852095,1.5825291906482073,0.03589024105414745,1.0927882617658797
SIDM01155,0.42011818257983374,-0.771295618081829,0.054767130987171474,0.16350322560638975,-0.7703925407108818,-0.9129654328703959,-0.86696675981815,-0.7958423909106929,0.47407261901065173,-0.966058609303589,-0.7434930560428628,1.1133177147659192,-0.9409488399020575,0.5428687728914301,-0.020954632190798815,-0.9000239746153577,-0.7660331105772044,-0.7030039210276157,0.2647728070991642,0.46090924982543474,0.1965906096503228,0.48752806921019803,-0.09532194158466323,1.819190284525235,0.019110937110105867,0.5519442107362033,0.011314277946517019,1.1750433018427555
SIDM00224,-0.893129355905542,-0.6331446033370655,-0.8018878625748579,-0.9226277783155135,-0.6594591050105908,-0.8970638317983548,-0.6495386597527419,-0.8741196252238606,0.9793887986113294,-0.9798719540611563,-0.5574939465904103,0.7788809226745474,-0.99047252350202,0.411761374403611,-0.5681754476960492,-0.6711550313962591,0.527297552631262,-0.594342995095711,1.0077336774603407,1.6565816719871216,-0.3885414267532016,0.26424582417756143,-0.8597865236136242,2.0251831095807344,-0.5566615498939393,0.36637531971924214,0.2077755553687698,1.3872555476312738
SIDM00783,-0.9009523172417877,-0.8213203068489596,-0.18014987993731568,-0.5936262039635263,-0.7222646750540603,-0.9033507223812909,-0.8955889068019506,1.2278269572317444,0.005412562023128539,-0.9070608178483925,-0.7224792953705163,0.770612584385061,-1.011605096544236,0.16118499815928752,-0.5391198904394329,-0.7575902603321092,0.1872936334958428,-0.576849855386959,0.3624001678037454,1.0408463641559929,1.3283463348371212,-0.3140893722622745,0.6901821776514399,1.7088347774091697,-0.5117650527184914,-0.3932957646217683,0.18150255077040148,0.8908114001376957
SIDM00490,0.1475456190015935,-0.7367389420996026,-0.8394625584180307,-0.8418646513224772,-0.8469851380341048,-0.845644421422394,-0.7671622455516885,-0.9182934317048891,0.41886514385753204,-0.977961815061309,-0.5773339856726625,1.0949227099674685,-0.7979233128023974,0.449442599873091,-0.6013485641231923,-0.7604086809054589,-0.8370201429908508,-0.7787675635514667,0.01926786524643693,0.05808090118745395,0.005533541369863039,0.1914201798506183,-0.8134891622903394,1.6518655239186073,0.059159360602275,0.7352048015815371,0.006681010229587475,1.1564272712210018
SIDM01090,-0.893973726608965,-0.6770628500702901,1.2166581504422027,-0.7038165478822263,-0.716668974916718,-0.8585577363201912,-0.8708395228099456,-0.8790167087950127,-0.33067162060965943,-0.9243299521004135,-0.7592119257757747,0.7432881599816689,-1.006460215855092,0.5665321552528537,-0.42320304502932365,-0.6008145258146752,-0.6534120663075049,-0.8339623617318699,0.5626701434316834,1.3846864948031528,1.20703372710123,-0.4949756090563249,-0.6385628085778766,1.3859081352941904,-0.42647390092125737,-0.05337407962817843,0.183513718805365,0.8471266388340379
SIDM00394,-0.85259775625562,-0.7766566524674972,-0.639415458655068,-0.3379869613341246,-0.6989174446394821,-0.6241772578636144,-0.7227769033451963,1.1470676165050802,0.3386406110369384,-0.23665400908716278,-0.7731202970123302,0.9819041668646314,-0.9460424188438085,-0.047245803145462,-0.8583461137403527,-0.704851056692012,-0.7842801650239277,-0.5493992508724934,1.1079283350295739,-0.6436408317920536,1.2885282271260745,0.5320620555355827,1.7078264088256905,2.127673369319692,-0.6699959012504136,0.0169624572825337,-0.08551235690087362,1.46902223453744
SIDM00538,-0.8272421008552416,-0.7020913468392682,-0.39530401163372886,0.09999889234089963,-0.7778786892374784,-0.9324958115141225,-0.8238222003967802,2.3663729435860024,-0.6059837679515507,-0.950420411227582,-0.703976338597726,1.0229824195316652,-0.829114469697681,-0.037553338228622085,-0.7192401771687148,-0.7349630680196466,-0.7129546704430609,-0.7453455819067196,0.14225918807439755,-0.48453819073314514,-0.43182057451659306,-0.2732847382590057,-0.8286763566514892,1.8035806801094456,-0.5223315349150467,-0.09522936528554417,0.7122440387762351,0.5922636048673369
