,AMD1,SRM,ADI1,AHCY,DNMT1,SDS,TRDMT1,DNMT3A,DNMT3B,LDHC,IL4I1,SMS,LDHB,ENOPH1,BHMT,GOT2,CDO1,APIP,GOT1,LDHAL6B,TAT,AHCYL1,MAT2B,LDHA,MTR,CBS,MAT1A,AHCYL2,CTH,MAT2A,MPST,LDHAL6A,DNMT3L
SIDM00098,1.5883875801436884,1.8181188330405933,2.1398602226271137,1.453175957058616,2.201546914053176,-0.9023787546063926,-0.6839176396425507,-0.11404571920838384,-0.338082112404589,-0.9259372862690813,-0.7582227124672409,-0.617637359651049,3.5755643256188554,1.7500350641606273,-0.8831292526996595,1.5836978906052457,-0.9233144896306025,1.5870048822351845,1.6967717699555753,-0.9080803501363061,-0.9017474024571992,1.8302530443620304,1.3629231455974204,3.2119518422968936,0.17574491484774185,1.2018057672624438,-0.6939396558759833,-0.6149255609997095,-0.4231652915931272,0.961471136017681,0.177892412901144,-0.7766231906345045,-0.9391096457596698
SIDM00225,2.0337621993625254,1.7828843546130833,1.5406628190208478,1.6672341547389748,2.3058901235968126,-0.8404820341644466,-0.40977823292525967,-0.2577653726442351,-0.08049589008180004,-0.6075785785601042,-0.9970559342614058,-0.6901973962586868,3.4337153013137103,1.6947674183227441,-0.9693000787223164,1.1916174219043325,-0.5737226513516696,1.5378624246156414,1.5811187958502855,-0.8935363625099972,-0.9572115091476102,1.8141387209061262,1.259319455310847,3.6164309865356024,0.28915572363889464,0.8012495349052372,-0.6392198225737964,-0.3020029272718647,0.39744532121490234,0.40504783447508347,0.6633810114982633,-0.8198670775764154,-0.9207461779644229
SIDM00846,1.6166533346298841,2.0487074822314586,1.501463794320861,1.6289229179102391,2.0016599732629423,-0.896995602311465,-0.5582350870924971,-0.10203141048619141,-0.6043994652725326,-0.8922592358258303,-0.6169641859982609,-0.81792805652805,3.494177983564916,1.4708059422440656,-0.9420275418284368,1.7371093572686203,-0.9156704493365773,1.530490266147199,1.5992330007333577,-0.9308126302805879,-0.8981657843136345,1.8695990885729694,1.4395141103338092,3.529642899644715,0.19773721636366126,1.023420583549828,-0.8635778912623547,-0.39600539825215053,0.7355802196440344,1.0952806232319858,0.9896602360089404,-0.8433870301107285,-0.6929623250144119
SIDM00291,1.4022089144890297,2.1025469596333135,1.4013210651459231,1.9342794200996585,1.311346800494277,-0.7678979025187609,-0.690310443973436,0.03979927656480106,-0.5016810293104372,-0.7632268163849346,-0.8129742702693622,-0.7172207206336321,3.5105257021325587,1.6155687641299954,-0.9785408204699274,2.0123958869717606,-0.8131463131594405,1.545676326136616,2.1631443016953993,-0.9579620000637266,-0.9310238779528078,1.879545683727082,1.4506911664341349,3.2602957518155984,0.5029782004059667,1.1137632433749542,-0.8243760995313707,0.02659186805048482,1.6754512225788867,1.0838396497280807,1.0736247488041815,-0.840242042214068,-0.9286488681753889
SIDM00520,1.1843221948503075,1.642700529109468,1.8660176099390084,1.2720284870530054,1.8970618560486847,-0.866876112726835,-0.7131737428393027,-0.5921491658557706,-0.5821979309698124,-0.8287954027932687,-0.5319170715189134,-0.540202804151995,3.317782368945792,1.5824039795040217,-0.904141085488534,1.4786771900573876,-0.9485504263371441,1.3819302189495626,1.4517554239753616,-0.9019134728939708,-0.9129479367876867,1.3874675553434603,1.4962915609548268,3.3382504631303083,0.22700850160530986,1.0119678509262828,-0.8046182143519882,-0.48114996080911093,0.284869898097988,0.5987399787931313,0.5536335251130686,-0.871722160408783,-0.4826735109450231
SIDM00003,1.8781708714034613,2.3490871765918606,2.2772884048178725,1.7563501404572368,2.2067194749992853,-0.7818128034996906,-0.36234582625688216,-0.40678690764296427,-0.554017246253762,-0.8026210711858055,-0.7736523846554046,-0.8068098722420226,3.5050948450033297,1.5295428977434757,-0.9092200006453721,1.7771972877728646,-0.8633217192743287,1.8591970060148062,1.422833155283033,-0.9390969345815389,-0.9514293597574026,1.59666450203659,1.4393759795031908,3.549167254110131,0.17407332883025192,0.20458386005715898,-0.7842850866927853,0.029679416528316648,0.7623525031205501,0.7682026134537063,0.7268187580692099,-0.8617923679185421,-0.9107019832455252
SIDM00136,1.619725826308697,1.3232878984684755,1.7902231365564967,1.9801272459841863,1.3162672099613364,-0.8598847203932699,-0.5864201264793857,-0.18485414677033368,-0.5794538662468965,-0.947938642487698,-0.7092187649028102,-0.776662618770222,3.4857061982907798,1.8585869831752446,-0.8867626302405643,1.4277825373572275,-0.9668914621226679,1.8309138844247366,1.5326804569551324,-0.8930494484586264,-0.8789792545395086,1.4756968716233634,1.3913041713685097,3.6326922887840083,-0.021078654806666527,-0.7903177638300732,-0.745114523084006,-0.3085502236114348,0.44360904622962644,0.8533340211120463,1.4521247557532475,-0.8560828623157452,-0.9401864183951587
SIDM01155,1.6501863241722694,2.1293700626220007,1.9398788390071096,1.424084284288227,2.0375077770354815,-0.7634946513367461,-0.5397936094834785,-0.3763150355357918,-0.2483731284304774,-0.791164036102118,-0.5216575666786075,-0.7526499990168111,3.4569407501322833,1.6671997946789905,-0.8751407100769307,1.6275520125994398,-0.6102994694255957,1.7062622267294985,1.4371055573518488,-0.7289004709590354,-0.8884504198318139,1.6905198095263378,1.4297420558925864,3.5760246637027904,0.13237973023876912,-0.33016121373257,-0.7603623141189358,0.1047230042540261,-0.39608948340578404,0.640972914767043,0.8231258968729391,-0.9085865200462828,-0.9853267307005784
SIDM00224,1.8565516732982201,1.7591507267794235,2.0380571630777546,1.6058999493752484,1.8790853229471576,-0.8692193024985916,-0.6443464225032278,-0.3107096623231225,-0.46683471738963755,-0.7917512264065798,-0.800608305265882,-0.776272152174535,3.332350330890182,1.626350704825612,-0.9467665793583137,1.577437229519173,-0.8568769011807602,1.7252939079478602,1.3036744272430076,-0.9463085797791523,-0.9489844498181473,1.7956056665388633,1.1606249701604783,3.296621914637526,0.4371348338600215,0.4071310016015133,-0.7289621777398096,-0.3714681925981122,-0.38028270642188405,0.5245380057503269,0.6486274703231616,-0.8297451304746609,-0.8761820482104336
SIDM00783,1.795178269567348,1.683203366127958,1.260955019818736,1.926769694679735,1.9455650152898432,-0.7817279130403588,-0.47493947963461963,-0.5862353977361023,0.32985370219013327,-0.8645641242043933,-0.7732678759209539,-0.8801952068393054,3.46114043454882,1.7994996382182593,-0.8544754016236189,1.5137646323020995,-0.9927859492884062,1.5803283622505244,2.693393088254453,-0.9266420612072772,-0.8881004069559095,1.5976875760896503,1.4765774093914321,3.2220303801406343,0.1666727210024804,-0.9156733260284808,-0.6430693724358054,-0.1571221146690097,0.5958352666527934,0.7600175097328454,1.032293059353622,-0.8736262053038585,-0.8997368986860288
