,PDHB,VARS2,IARS2,PDHA1,PDHA2,LARS2,BCAT1,BCAT2
SIDM00846,2.739325893823253,-0.654105908467517,2.118272333164033,2.2495899510618527,-0.7593565212321324,0.8560597737645762,-0.5147373586633964,1.5998025684599184
SIDM00291,2.591493950446444,0.2924097322561943,2.2335146705456115,2.354576422398842,-0.6515114734208389,1.4284455627698975,-0.7319086647104434,1.5558453817013422
SIDM00520,2.5530008848110004,-0.35759951425314557,2.189877646054067,1.8966922452304136,-0.7775169577970004,0.4856189701119937,0.8847753341465683,1.4179636576307615
SIDM00003,2.449084141108025,0.22668766378447444,2.1152071806628396,2.4651297674532233,-0.8095725342369892,0.7036134361945149,-0.6891932963719654,1.1726597999578787
SIDM00136,1.9891401527527344,-0.5489931860740722,2.176456376453412,1.9093560354130792,-0.7701284294722286,0.3321387894241487,-0.9817074638421153,1.7143302718364148
SIDM01155,2.4875788593980754,-0.4137959718809083,1.9916191238934255,2.113403402656482,-0.8023352951111715,0.8036341838216224,0.23285414046396885,1.292823410007259
SIDM00224,2.525525964480362,-0.08088153411314589,2.3028755454491283,2.2338151384946165,-0.8693503539283928,0.461851886557864,1.3384656651557647,1.7110947993218715
SIDM00783,2.2623827491916333,-0.34662515628768004,2.237079183531034,1.7395417618888815,-0.7651059591011408,0.6043791543672314,-0.8054194860566457,1.4924204936416832
SIDM00490,1.9971603585079414,-0.4160911144201061,1.9241912143579265,1.94877064739742,-0.8183151404460114,-0.18483473096570344,0.11159357364980617,1.4697611131686321
SIDM01090,2.264213120255254,0.07761805579077687,2.2242142004849996,1.8946661381907222,-0.755177827399559,0.8110566988331404,-0.7043411410354632,1.680680489994679
SIDM00394,2.106046902083647,-0.4978894627244017,2.456496002433667,2.5009829189498096,-0.8237111890503996,0.20752969809430546,-0.7355874199133973,1.5896910311899783
SIDM00538,1.9599964804639238,-0.6196418106859207,1.9800355585745355,1.8232615343247593,-0.7046897203963605,0.22186177150076594,-0.7191759746484603,2.1880444208556353
SIDM01140,2.909129154178533,-0.45782044516692266,2.045104066182397,1.925438083689328,-0.8257452964640914,1.0028206746327668,0.7873265140746305,1.708261695936297
SIDM00101,2.404420081405644,-0.42827941123324886,1.7712123087572562,1.9436469264356102,-0.7564368181135028,0.4757242587752245,0.35001057078176295,1.5628237909486158
SIDM00114,2.13601063441847,-0.4271763647241155,2.5486347056297443,1.9251258326395448,-0.6258715875528085,0.36849895679219347,-0.8913490076184917,1.3770322181642347
SIDM00102,2.1537667258672206,-0.5146830247762942,2.3368056704719966,1.749499268391748,-0.8702325380036218,0.17053461561196864,0.35103798687981286,1.6217093409851668
SIDM01122,2.2860743812041644,-0.13841560612254344,2.4105245810823304,2.308814019046299,-0.8104824071582624,0.32065445609163906,0.526621373506601,1.3877528724079826
SIDM00261,2.061541571069152,0.13218755304274454,1.9361342461195274,1.838179589986313,-0.797305380414471,0.6445409956086185,0.8449151798699919,1.3256958150094
SIDM00154,2.533386512120057,-0.27988384085463286,2.1273122318810587,1.9940817555955728,-0.7507880630197767,0.7055269983019173,-0.4540828792340418,1.2497165958969456
SIDM00104,1.7838297634416116,-0.4640131027075922,2.1716246165067417,2.0756697855231256,-0.7634306888989861,-0.014885586483425977,0.744614437241992,1.364252915368259
SIDM00267,2.124132134202203,-0.2830682603142136,2.3442113781224836,1.7233372491966479,-0.6879336044816726,0.19836440650879053,-0.7833054049202376,1.4249127176908343
SIDM00100,1.7384316972951754,-0.47201150493957106,2.120931401980336,2.1643091779495447,-0.8728109231148843,0.6204530762710502,0.8994809626199961,2.0354675768317843
SIDM00826,1.9059647795610697,-0.2939367730816663,2.13780556397045,2.21861291133165,-0.792025252932591,0.07617022143230284,-0.8000356928541125,1.1464438635832355
SIDM00310,1.8377715905301242,-0.042672329448640973,2.3165739609050044,2.168020650704462,-0.8090173269853176,0.4168619789909936,0.7912268857534626,1.5240276107182176
SIDM00482,2.7566285375300725,0.5277224974072063,2.295470563499379,2.3995947363453074,-0.6861240353997905,1.0985035185173275,0.6964354269260542,1.5018299333368956
SIDM01247,1.5618473565578683,0.21082821197233784,1.9855176978733184,2.0300523108107145,-0.6456226159613537,0.6843831250886189,1.236316308011097,1.725286640612267
SIDM00817,2.0895536156848618,-0.4398918776791277,2.4741760111612447,2.29441177295796,-0.8497296933161768,0.14168097924824713,-0.21083239478157412,1.6277919129646676
SIDM00448,2.5539393979895424,1.1134455012020905,2.0788288366154837,2.766255425773359,-0.8024165494158213,1.1130080334542767,1.065431259378588,1.2041267036265932
SIDM00086,1.9205377716418879,-0.32199347432810554,2.1862354949176845,2.215686840357994,-0.8509176328366915,0.5325890186383635,0.643742802223082,1.2814451130436604
SIDM00466,1.798000325106376,-0.5475877416206274,2.2215135458772903,2.163816492288577,-0.8225716626852718,-0.002078466760310521,-0.88872970272775,1.7476248779468257
SIDM01132,2.7802968118330758,-0.01315806837286378,2.2999426222891044,2.3160701879290135,-0.7132859940298885,0.535493604234547,0.1584165328218143,2.080879982306751
SIDM00465,2.3196302980530144,0.09142974765654847,2.7529644394722954,1.926447346948515,-0.8067267781659487,0.9484188925707557,-0.6879391078278738,1.6397104767302009
SIDM00565,2.1409877275562565,-0.49979770426461695,2.0772695121556795,2.204073014107221,-0.8503765737745483,0.4874156756269321,1.19601603118052,1.3043030602192986
SIDM01092,2.5830380904392642,0.16233888279404984,1.923901175310615,2.260699801302848,-0.8593633426118505,0.8089369987617924,-0.633506658426064,1.5850210707993573
SIDM00218,2.5304419282997297,-0.4500097499368896,1.8612985549757446,2.265481935603017,-0.7773349448250209,-0.30102322407073906,1.3832305125979973,1.5763761447399467
SIDM00044,2.513236202988937,-0.4902503218732636,2.4006313955027263,1.9686512054038927,-0.7857228323515059,0.7374326193916637,0.6096606124336152,1.8273694690879632
SIDM00362,2.367489670797401,0.26578966984921704,2.1655659417374276,2.0997709589751663,-0.7627869186487416,0.8701766901791091,0.796233527387488,1.366954262252002
SIDM00813,1.922321286148837,-0.11694351543079101,2.022746006729285,2.095862552457732,-0.8663267498003214,0.39209689889925253,0.9256372630015792,1.365544413573465
SIDM00364,2.5829229345545492,-0.36487425325693507,1.5601118111851433,1.808865296661519,-0.7328423990511028,0.7710926272407133,1.853935844840199,1.2578543408397758
SIDM00792,2.4008043722929875,0.1738839328513501,2.2671135021712323,1.993371249306058,-0.8014119647344145,0.6303018687591488,-0.714297861956746,1.6774630674127666
SIDM00241,2.311541965871902,-0.037088770754226126,2.222228724981522,2.034040673259321,-0.7976750293346676,0.2699959730044657,-0.7917432000548289,1.731037815548409
SIDM00091,2.5221689561759173,-0.30182453002025644,1.8308966314342212,1.7209948644865747,-0.8164927704718603,0.5511330685480836,-0.8933865866393804,1.8043724709795046
SIDM00427,2.3037964630579655,-0.46428893199083976,2.297735674846687,2.4666444083324977,-0.8418866384145574,0.20660821003635754,1.0892234747384864,1.428447078126549
SIDM00758,2.1675853492754276,-0.3528886512869638,2.332081239083957,1.8044750364029818,-0.7864718107465637,0.11517206168961243,-0.7821625164472567,1.2393897393212099
SIDM00612,2.304072436363086,-0.29013622598394584,2.04391709057247,2.0325712892530965,-0.8123209875683817,0.6482795287999032,0.4876324960014842,1.0955423522898473
SIDM00553,2.276164126861992,0.019382605801075807,2.054003272171348,2.2243848969725812,-0.7516691339964545,0.9550302544635855,0.15806595702031345,1.4574661825348134
SIDM00343,2.1570868671782613,-0.27382059992297686,1.5554858756013037,2.400867057327597,-0.8972162719099019,0.32912113592107956,0.05938559802568047,1.5239927565363836
SIDM00543,2.738737855700086,-0.19298244696518507,2.5472995578206366,2.6820252805504854,-0.7436245816687804,0.995080659497622,-0.8043459193455255,1.6074886290337738
SIDM00537,2.6263476234543757,-0.14022298042387413,2.473955219892263,2.2934903309829306,-0.8011363974741156,0.9518507514828005,-0.7808904305597031,1.776565559326397
SIDM00332,2.0872210364947983,-0.05204043477368492,2.090353324778129,2.06196458402312,-0.8003506326254513,0.43805568924118726,-0.8287247189715908,1.7005832598460797
SIDM00299,2.422094773427548,-0.4258888743663311,2.286138793156129,2.1551310634283696,-0.689000948271262,0.6237512042286324,0.45873929829302784,1.8731468054252844
SIDM00308,2.3178518680257696,-0.24765427438017348,2.1446570133351526,1.8501503847454377,-0.6701553607545353,0.5089169760195759,1.0230755953096047,1.6589410819799226
SIDM00227,2.303087709329245,-0.24737502914228426,2.3931917087830716,2.132006676320242,-0.8199338917126389,0.6179534779912672,0.7465266818782316,1.4217923044302445
SIDM00294,1.702907912256417,-0.08455364140940841,1.7941000017264637,2.1758361278424436,-0.8345285990038475,0.41994497320992896,0.4571643185143217,1.878243134836608
SIDM00677,2.2626830634561435,-0.4488531938097844,2.468174963001573,2.094071943439173,-0.6459589276538479,0.7339422049945722,-0.7349895880864049,0.9405187639263592
SIDM01220,2.387333621643692,-0.1513400882427038,2.1016411853136656,2.345563384370804,-0.7540267774359513,0.42712920646271363,0.45106176970872097,1.9062796512194633
SIDM01259,1.0728849394653432,0.3422712236242512,1.6748367605486392,2.172865103215,-0.6574208842844295,0.484992633706626,0.443288284522407,1.7507119575328092
SIDM00680,2.3590400622465015,-0.13059895184708614,2.22714753650462,1.9093167882161046,-0.6984357691864452,0.6918039018920445,1.1092996437579759,1.863483529517804
SIDM00346,2.4874849657324,-0.019025909635664178,2.006604007991157,1.6760184637602586,-0.6752965134060191,0.7177863099008561,0.367568911114863,1.5739012631059643
SIDM00129,2.23865009258387,0.2751849164069552,2.2224441547958764,1.7859769600572126,-0.7041890705973989,1.3684895104620474,-0.3766926577309261,1.4108112109406006
SIDM00627,2.13102476604076,-0.5729682031691175,1.8803793805875633,2.2039274442578543,-0.7763606752633169,0.3887300871490223,-0.8288645327764035,1.6908154753368265
SIDM00293,2.233567571875073,-0.14744937279788575,2.1262587397103188,1.6437268450855573,-0.8406524583410739,0.44078005030686185,-0.13776108271671414,1.8423596869035381
SIDM00274,2.6294815625295627,0.014961029504336504,2.346791034388657,2.49561087139441,-0.8015210767776536,0.41481259847464774,-0.44502744301258435,2.2755144731721173
SIDM00544,2.2737498482495067,-0.056009689979847975,1.9314815696824508,2.092536242849762,-0.6859242539831735,0.8935601977652463,0.6282325736216204,1.3741468708652929
SIDM01006,2.4738294650920367,-0.09002981491827503,2.0413156103444803,2.2722264938991046,-0.7209484306474302,0.3412108445156765,-0.0547744683933565,1.6207297642017762
SIDM00302,2.7840074893715894,-0.45447396208929014,2.147579193232434,1.9377116781895505,-0.7745357822478414,0.7219218819006858,0.9065908187091444,1.5634987724620266
SIDM00549,2.4678407106646385,-0.22748364197657736,1.9754378143416529,2.1822499613710984,-0.7024713217569384,0.9807814909947864,1.426976069394747,1.6379677075380432
SIDM00292,2.0206627195106286,0.24458302200279972,1.9943698803824228,2.1274242036684474,-0.7982494518810348,0.41529146788069854,-0.7362524820450387,1.4480632521624737
