,IMMP1L,SRP14,SEC61B,SEC63,SRPRB,SRP19,SRP54,SEC61G,HSPA5,IMMP2L,SEC61A2,OXA1L,SEC11A,SPCS1,SEC11C,SPCS2,SEC62,SPCS3,SEC61A1,SRP72,SRP68
SIDM00565,-0.1121192904745317,2.7910221927353405,3.0364061384437764,1.4244141139480013,1.8736460382061562,1.6959083080956678,1.687118042268682,3.1580969355402124,1.9772052019046131,-0.13534340366811556,-0.7193730603345304,1.1058958516248723,2.6900133300776026,2.4567223403973104,-0.32033044695091634,-0.33524788359162905,1.165537063760612,0.9602140736341125,0.939260297948932,2.3695452347556647,1.9966682192121128
SIDM01092,-0.28320093457355505,2.595170833610886,3.3339691802297775,1.3758248232409918,2.146073019464994,2.047483786384767,1.7651693029889473,3.024652194517072,1.4104052063275982,-0.17701665726746565,-0.6445334861047091,1.4064991216837128,2.446145435849333,2.768700053196069,0.4499841509771013,-0.3621522428024855,1.4227644222526203,1.337782664005691,1.4867026865143298,2.5498589106504395,1.7560330606565953
SIDM00218,-0.6295229590889323,2.728874694639021,3.2393510732765995,1.7428004220667224,2.392076090520646,2.327487140166771,2.270557123439315,3.181520187620596,2.689558229149628,-0.0827584063075753,-0.41932865159298127,1.373844324591228,2.830924283427814,2.7063093113746133,-0.5991490115988654,-0.4978963420306595,1.600165118099009,1.3556311511958397,1.5535355628075318,2.703107507475246,1.9610540982389195
SIDM00044,-0.4066940886024924,2.8663654178906377,3.3298788383315885,1.4455282828596765,1.3959677819205654,1.8415118836631936,1.6441538924726644,3.4236055865687556,1.6912749332765897,0.015441064174263597,-0.8007171212185057,0.6856463616963053,2.837839369264695,2.478440086768937,-0.5914536914612696,-0.39364278187829826,1.1264565746339947,1.0472624751508577,0.9992945580948427,2.6579169189025524,2.8426929152116305
SIDM00362,0.31973752159518937,2.82500497648873,3.0376938316755546,1.4391624818024054,1.7844570869507457,2.0509012646195397,1.2824883422261013,2.913198179910957,1.440415998053506,0.15200605814168555,-0.6225020658376568,0.929092851026404,2.18656442208703,2.5236606375834905,0.6309366274587541,-0.06128386251793547,1.473683245908313,1.3866197916237735,0.669285595243677,2.686716270201426,1.6685282587995545
SIDM00813,0.4146125622830108,2.71396674450571,3.129694887110305,1.3432571803102191,1.8957760740365934,2.198991226170179,2.066760045822245,3.0410574600841493,1.6774315731336766,0.0007663732976619566,-0.2656539365409907,1.4247205409229218,2.5715939278511053,2.71654266875307,0.7953700484255867,-0.35906519366882705,1.1313380003974345,1.3562338318378448,0.7566132818219253,2.3699445904282572,1.6813281097172637
SIDM00364,-0.304189911740621,2.8338201058633317,3.1482439876830983,2.2796908711372033,2.464318746203911,2.5647599951965625,2.0899113419360944,2.958374567667374,2.2181717623576964,-0.44614857565305804,-0.5068415521479891,1.161731504504876,2.7309884684711707,2.6607009929250984,0.2422012853906062,-0.23744163822437334,1.2138489495692986,0.8476919575170649,1.4578925146727169,2.9000108531519015,2.023426560642831
SIDM00792,-0.16430178461327818,2.02649036693869,3.0286584848583304,1.5373743060366782,2.047109914565084,1.8470442931687279,2.136178303533432,3.108850527241034,1.8802451374765687,-0.2531510915329037,-0.6224107822156286,1.0601291170127107,2.673492295829124,2.6746910849815535,1.8619098760733863,-0.13902505292580314,1.1043396029138388,1.390324411216807,1.1933883018796694,2.7482477036466864,1.9234308576593377
SIDM00241,0.45113228181996756,2.81748070196392,3.2525794660263867,2.603101064035751,2.3324589850578117,1.4945181717942988,1.5501896169556664,2.9494418422361077,1.637785695543189,-0.2617247945201932,-0.6445395720801844,0.811694752660096,2.745626640175121,2.5038673682701136,0.0039014316842371118,-0.472608774083745,1.2541000469884567,0.9451981166315926,1.0270439433283365,2.685693479311759,2.2279523901289315
SIDM00091,0.057123420563505174,2.7404614952188644,2.9114040195040087,1.4740988201012013,1.6637610853629126,1.866516001800539,2.076954601733636,3.1309522619468444,2.029720707503409,-0.09283134453682927,-0.7727647428981331,1.222424635879956,3.18367768310497,2.5166721987864635,-0.1461102930790412,-0.11768761827604449,1.6575484560372173,0.45865617857554325,0.708882887365077,2.376062704498574,1.9559513496491894
SIDM00427,-0.5001306844749329,2.7445435316631546,3.043167251522421,2.077016189293444,1.6087303294172277,2.231574591007417,1.7515118577359008,3.082694130929429,2.6948943644403123,0.2683309434943158,-0.5271269315339588,0.9159923344186602,2.4835865136082242,2.4725902791716634,0.30511130049511415,-0.4669076536431409,0.8764342844360641,1.1292572234619245,0.7992074727542243,2.7095037004345928,1.7606399897894753
