,RAD54L,XRCC3,RAD51B,NBN,RAD52,RAD51D,XRCC2,BLM,EME1,RPA1,RAD51,POLD3,RAD50,RPA3,RPA2,RAD51C,POLD1,POLD2,MUS81,TOP3A,RAD54B,TOP3B,SSBP1
SIDM00098,0.7503395022903611,-0.7458177987986433,-0.6012181212097573,0.8766916130882876,-0.6116372936862098,-0.23035977049551076,-0.43813196776641006,1.0813049093772356,1.0756693689492496,1.1274021316988818,0.7903117356209304,0.2659597720062809,0.09845581403636036,2.071665098472365,2.0523554796836345,1.5672691757463695,0.6910910980826369,2.5253709751932156,1.0293433026953895,-0.40341023781642144,0.7701444758222972,-0.7809435552663778,2.589098515880849
SIDM00225,0.9847712938600619,-0.7758404376600758,-0.6776667801874147,0.9493471415898607,-0.44655609514058886,-0.45902938888703915,-0.23812494499756384,1.5426926116202802,0.9458061145564056,0.9561088411501732,0.8309600536102082,0.016203738056463995,0.39546726770478274,2.143739113813378,2.0731882577068372,1.5921624279879942,1.0607540836553204,2.1158388831817296,1.2664189544817281,-0.3631551497407979,1.6281200477374496,-0.7747646604945645,2.6502343790361116
SIDM00846,0.8468290246168098,-0.7267273678807998,-0.6754670263705402,0.48921110953849983,-0.6366174722238432,-0.3355930836384676,-0.5239896592311984,1.5951923570379265,1.1786624028695254,1.2381418559997277,0.964472663846272,0.7647880173463554,0.4963575503470923,2.0116911946638547,2.1156341059387334,1.2174066554601386,1.0481421160136632,2.421007128628781,1.4367528874055253,-0.1345934312578444,1.0805274683638957,-0.6653914743549495,2.2886362202658734
SIDM00291,0.30257551384801673,-0.6465023938904628,-0.34281723855411866,-0.0934851986513461,-0.5492102096257502,-0.3243107134186285,-0.580012563770233,0.730052050254529,0.7849610045133097,0.9835099619236808,0.12030959104653137,-0.5424478202286336,-0.7005279076087919,1.395271915461821,2.098613122227756,1.0525020508218894,0.8818044833468327,2.2030288698217118,1.4312216115775493,-0.16129314581683285,0.7471563021464258,-0.6546732092850535,2.43118111887057
SIDM00520,0.09993504787310671,-0.8664161615607691,-0.6241366181048159,0.6370085347047182,-0.7114583345103402,-0.20846870306222237,-0.7060068986679289,0.7167068243537883,0.5870755524842685,0.9198292686298901,0.8018110364318433,0.03626667990282283,1.1522796771277481,1.5894221464925602,1.9915415555598353,1.0619201105487712,0.479620761482353,1.895684176596814,1.1534849140285577,-0.4158937594792583,0.2789410255339506,-0.7706533057945504,2.5143488240029073
SIDM00003,1.1578582336176342,-0.6208229658700214,-0.47719073745619917,0.8413132621610573,-0.7395829746792136,-0.261715558502636,-0.1603027771209462,1.9562337248332453,1.0222461423044233,1.395429598752175,1.3020578283186326,0.27832696125172457,0.3057645756695938,1.7387763971514607,2.3247858780395383,1.4120799168680702,1.0818721023742877,2.049338198881483,1.065317561773453,-0.3667459568517104,1.2080771549476468,-0.7307894416785108,2.750651864339129
SIDM00136,-0.09246589966640482,-0.830274850510266,-0.8127963089769317,0.7644271354878089,-0.7088160164171379,-0.1994497611557852,-0.5533681775439794,0.8354171342562964,0.3379321349414132,0.770878732696001,0.525128028197343,0.013646102036430475,0.9506817697162326,1.3069883432365006,1.7069424017547998,0.4717690425388897,0.658356693294669,1.8057082210633681,1.4323413415613895,-0.4956425705297437,0.6187986184552804,-0.7494567534433173,2.4478489588111523
SIDM01155,0.5828066487380589,-0.6432387324635052,-0.6960601557611618,0.9218849519749209,-0.5731709149546214,-0.3156451344365615,-0.2774416099678209,0.8043982270223684,1.1679229973415066,1.1178714217921184,0.6226609759164337,0.08641688467083589,1.1100748247243144,1.8367628991196747,1.88595646898631,1.4382329684623933,0.586271631394478,2.4868244270544015,0.8944859875166898,-0.3719847229512398,1.102080234840061,-0.7850769910152332,2.6588091129056806
SIDM00224,0.17285438923025356,-0.8096304898715679,-0.8105328467834073,0.502413909862779,-0.5771101465883559,-0.1896820217331612,-0.6237007527445682,0.8716706163020868,0.5428537590404077,0.8423214872345343,0.3501202983208856,-0.07666174973431991,1.2943391423353408,1.6119745507911794,1.7780077582797449,1.1128026956182138,0.7225805150715625,1.9612653879343005,1.2448621907016975,-0.3502725861583957,0.9358206188683386,-0.8282589875729882,2.5157753486668804
SIDM00783,0.28525623054396115,-0.7192117894868968,-0.6959270785938115,1.2459898610075728,-0.3225928353455961,-0.5197862939410097,-0.3842688827727877,1.189471602939472,0.6921084519234102,1.022627479562574,0.6631686966938201,-0.32424485042366397,1.0162172526548594,1.5328204778321783,2.1373451962392256,1.5412489095036,0.5632710555208145,2.00734461524248,1.0479514625245276,-0.4021516767351636,1.1125649301617877,-0.6645821019082416,2.4235106358915854
