,CASP9,E2F1,STAT3,CHUK,RAF1,ARHGEF6,STAT1,RAD51,BAD,PGF,MAPK9,MAPK10,ERBB2,TGFA,BRAF,RAC3,MAP2K1,IKBKB,RB1,JAK1,AKT1,AKT2,AKT3,SMAD3,MAPK3,SMAD4,NFKB1,RAC1,SMAD2,MAPK1,PIK3R5,IKBKG,MAPK8,EGFR,RELA,KRAS,CDKN2A,EGF,TGFB2,TGFB1,VEGFA,ARAF,VEGFC,VEGFB,TGFBR2,TGFBR1,TGFB3,CCND1,PIK3R3,RALB,BCL2L1,RALA,CDK4,RALBP1,RALGDS,TP53,E2F3,E2F2,PIK3CA,PIK3CB,CDK6,PIK3CD,PLD1,PIK3CG,PIK3R1,CDC42,PIK3R2
SIDM01251,0.1017671879276909,0.8642684500175716,2.1710027629009225,0.7210582576768639,0.7586112299801632,0.036038233694017416,1.1144257458803544,1.67156795802165,1.0553289280381721,-0.7775829788090997,0.4666951239285253,-0.7657887857269631,-0.5589306554074958,-0.678648496794837,-0.21276350565829732,1.0345983789407607,2.691245613177751,-0.16748433091821574,-0.7749063371533361,1.8560738396121033,-0.26687787386259304,-0.44464528457039093,-0.7923515663435187,0.34664760083597257,0.29983838590695794,0.949120696897304,2.2575870669165865,1.8025725873608833,0.9891986484654675,0.7974962522922423,0.2795658094603325,-0.5398413556134626,-0.050741862028091736,-0.7404662310071676,-0.22880720380603684,0.13205378499943227,-0.5761180088154497,-0.9243735355686531,-0.8910025335529786,-0.42511236663208357,1.2356416784323045,0.17156467979513357,-0.5936252819292972,0.858889367831361,-0.35917372201975306,-0.6712732159706077,-0.8764221067895279,-0.6437632841504938,-0.6159432617958398,0.42081610670700526,0.8718871179638227,0.4121600744169084,1.8854941144186577,0.5939312048548167,0.30866060484003444,-0.7535342006389559,0.9211180906476341,0.4884299582393303,1.641214536303973,0.056699369318103585,1.6283324670907187,0.24759707000481035,-0.7649124890624841,0.3329300401529168,-0.2686081733563952,-0.07910536396680676,-0.37373595538626225
SIDM00197,0.1034400914794493,0.34917094510505653,0.829267441428076,0.7470275544156184,0.8725169075918375,-0.5841292477630994,0.19292627705754292,0.9731815389639942,0.7298459000477076,-0.5959658829188565,0.22435995192088548,-0.14365415873483084,-0.5785542733287921,-0.6472485848334598,-0.06753696904677357,2.080011321294492,1.4848812337509425,0.024611821474766638,-0.6302560257368472,2.5391295918828436,-0.3496598366081339,-0.5357162292738252,-0.7854844753915303,0.020227985965406932,0.46576645196191335,0.8558552882210544,-0.17467911428832647,2.56465347164134,1.1022754506733043,0.32591375815265666,-0.8242609696025152,-0.6205166248596153,-0.17561758155334906,-0.6919667381667728,-0.22438741373507043,0.5986210071878347,0.9844508220376756,0.06781030471615376,-0.8508779754897006,-0.34881876620921537,0.09925179969063702,-0.13051582663093889,-0.7593425850357886,1.3403519525089702,-0.7278547488943652,-0.5732585750189937,-0.6601398709738032,2.0655489910402225,0.21015940716632817,0.8589252074887096,-0.2681322547189411,0.7745502264024301,2.349688059213294,0.9141240225712497,0.3919310699224719,-0.5551170586225834,1.343238569722459,0.5677470839422594,0.6147070625464766,-0.5013653979855406,-0.482275150108115,-0.6228629957896379,-0.7088712202096098,-0.8432180085346991,0.10240017928485076,0.36424161751897927,-0.340392902488805
SIDM00810,0.7472047369895615,0.425593577102483,1.1932505981781814,0.8642082454107471,0.5924748587013766,-0.889599292971074,1.0697187441975584,0.9080927803519991,0.9217852451883995,-0.3531154606007337,0.6365663680889658,-0.8044219217806733,-0.4158556472937379,-0.4956595487176654,0.006020385143333348,1.568277299290823,1.0604476277083377,-0.21264746550118413,-0.40941598373602234,1.8347803035574315,-0.09267319743253377,-0.6636037380388887,-0.3243182776949593,-0.24518207295136507,0.39762160217458925,0.4776522016173185,1.69635906429386,2.4695546913332693,1.210629486326352,0.018679241208675538,-0.727390729017937,-0.7694166927610087,-0.12240350899348233,-0.5799454857322194,-0.1307664564362503,0.838464525948594,-0.6514961876632529,-0.9585241306945659,-0.8185245003607923,-0.6471358834663536,-0.28567634633946837,-0.18019955514697047,-0.6590795288373935,1.6117668842153607,-0.6677886487994225,-0.545476197861631,-0.8588524938247777,1.3679476887107964,-0.5740083226451945,0.852259442325234,-0.23296100573705653,0.8948836174495669,2.2061587176308444,1.3648786418488374,-0.16180193545745908,-0.8378267503103195,0.41985817424096783,-0.36932675915819985,1.5491739388731278,0.7497389178301672,1.5724256269635284,-0.6228171323737832,0.12324360275488042,-0.9679264320452086,-0.22151175715585783,-0.14176056024023714,-0.5084509547541164
SIDM00174,0.12212591673706756,-0.15481570261246222,1.574267536890627,0.45269266178662093,0.5777389133600614,-0.7285064915958298,1.2950291429842478,-0.59473303359913,0.9529456592587623,0.1505394596901002,0.6928858601181088,-0.7718923811258862,-0.4024034414119413,-0.09844165739544494,-0.3946923230592668,1.4597677609132926,1.5776711745690466,-0.19180911751810065,-0.5039849919559732,2.17673616559639,-0.27066070547366794,-0.6093813357220916,-0.40291805142679993,1.2152149497230722,0.5921307107068303,0.566155658501294,1.7847106849247718,2.4251415194971253,1.1838756459744773,0.4373902651866279,-0.6661515281773696,-0.5960725365997098,-0.304056565402686,-0.4192501190412808,-0.12977164544041314,0.269417703517212,-0.20270521953993934,-0.9689630937306218,0.9235083462131045,0.06485723861622184,0.6523761602140417,0.0037174948009620584,2.104175703886395,1.4729397117461767,1.358994665985614,0.3257207873857636,-0.8249267381128238,1.2577022346084488,-0.6259508752278509,0.3864951612713493,0.06340125190619231,0.23071719327100482,1.5962279132490347,0.7127376370550267,0.3702266907441118,-0.7547394048126063,0.4224097599696325,-0.7023639515542653,1.0356346076648233,0.2933257757467372,0.8575807176275163,-0.5841641732393411,1.0381455477993997,-0.8846111895740798,-0.45469119717250417,-0.10017178217418374,-0.41979118489708656
SIDM00487,0.2244576329069182,0.3813682788703311,0.5484991712135618,0.44060991425854595,0.861669822207343,-0.9520411290701166,0.5934150270803583,1.423311255347688,0.2061727314069393,-0.349541649419071,0.5281359188143163,-0.8610848564258106,-0.2937981627536642,-0.5488997754087623,-0.14120116150067075,0.4336677878801592,1.5162557708552813,0.028187368848178764,-0.35656688458535735,1.9693012372839427,-0.053063452290323915,-0.5621761042733096,-0.8844955980326472,-0.020514211182936,0.19372893086059062,0.5726214239729701,1.875768788933893,2.558942714105726,0.8536057730047314,0.8124803320298268,-0.8323491741747702,-0.43542418467032573,0.050671990131363406,-0.5012985970798265,-0.09074281803910815,0.6519519019853713,-0.5525979339030442,-0.6448834408617921,-0.8061758137096977,-0.7805177526665285,0.3264210311106794,-0.14049853001735613,-0.8216560484172463,0.01626794241580813,-0.08097555431142499,-0.6362363732244845,-0.8072834994561423,-0.060778465298786485,-0.41321658418687485,0.8638196358108834,-0.30742605272278983,0.6695889521099093,2.3681067438947387,1.141710867769355,0.10010052095769932,-0.600705024058676,0.3106115014806672,0.3031508444612624,-0.028267897613649916,0.5807328123590847,0.8290303410054303,-0.6881162444306019,-0.4160620046601946,-0.8770478307098476,-0.1552796711712415,-0.23270129197700176,-0.015554755121219694
SIDM00263,0.1759600253450907,0.22083987745111544,1.2167084098796195,0.43433689768974365,1.1828537806685953,-0.6483073168805378,0.4487264234086711,0.8409276837571665,1.0687045244180804,-0.06454121093002486,0.1979005106165489,-0.5934068580683014,-0.3645994469535266,-0.3910198216728375,-0.13052621545120752,1.9601416837804493,1.6181745869942294,0.00781559499757691,-0.3533397350452031,2.5269901746875543,-0.5358659688340587,-0.5929707852780194,-0.8244219685563113,0.2473548317470785,0.315502238726775,0.7647126720080535,0.1924732311759329,2.3223464728604473,1.1571183065013828,0.3613597589247969,-0.7330443455649005,-0.7517122448737014,-0.3902415696199638,-0.8004815644061458,-0.13311409601549232,0.6432259912162325,1.1171259305819388,-0.3972190942009359,-0.9333098858724216,-0.19088921349800003,0.1126318598496214,-0.12602539725983813,-0.7235121128663311,1.3822573061464873,-0.5866779035781945,-0.6097499744949664,-0.7750879418958274,1.2823496349024162,-0.4506459141848999,0.9303530038536048,-0.3432274536760804,0.3723572617191173,2.129936938169567,0.8181865869303395,0.5533809367127269,-0.6031438020969648,1.2157232588026214,-0.038354567577887494,1.0894407688683145,-0.19558799753074768,0.04633343859964955,-0.5237788118873302,-0.737314195414379,-0.701312352854109,-0.3573514062261285,-0.2357761657512942,-0.36075683129976843
SIDM00277,0.3811373672151496,0.07989553456921389,1.0177873622842357,0.7806404364203218,0.9277902831670553,0.2110214115202403,0.2931355884709562,0.6988262567627331,0.20799921283416148,-0.6481794469018227,0.5596302999832127,-0.8091019730825075,-0.6280238367203224,-0.5718258978731539,0.09303544719537829,0.8704455920521741,1.4255736689973697,0.8651483414854606,-0.2828916303471326,1.724087680324864,-0.22915618279722696,-0.48926279203103334,-0.746745669667153,0.1669510477064862,-0.04577984584928725,0.6700159388779802,2.101478361103143,2.034149593850233,0.9404538275414159,0.7158782247957273,0.055395685037884494,-0.6251280742409389,-0.16966912804373618,-0.73629993905932,-0.12812263699476498,0.5320079124991126,-0.5645405026539213,-0.8071985737299587,-0.9164653568143972,0.37607582446594084,0.7500641253532295,-0.0649590938080073,-0.9069036684669844,0.9941910314876504,0.3126914026050893,-0.6549835144509024,-0.8320991238502973,-0.7841645683698246,-0.5576405971533408,0.6839323337249642,-0.3578455375680776,0.2604286687736836,1.8285342940903329,1.026759808800547,0.6959937249611126,-0.5038508552598812,1.0938970374587451,-0.5131506346245736,0.8887963461301398,0.25110248665181756,2.558266060353442,0.02751455935069731,0.5701149468160335,-0.09553055943688323,0.6567422760735772,-0.19733489071509935,-0.43467283022932585
SIDM00592,0.6419909951580686,0.06939326133722842,1.9608082284640393,0.26168899976654497,0.3589776412306103,-0.8959087885063242,0.7984716882096802,0.7237217282947159,1.2194250601136998,-0.5122480313167723,0.3101127880961474,0.169537328662805,-0.26776565503238253,0.032765249497478804,0.3631032561666542,1.3399240237550711,2.0488108496765216,-0.051031895535246036,-0.46993301194762876,2.1634614784726725,-0.14222395779019514,-0.6736911192634912,-0.3457974912334186,0.7308107941641169,0.35810482472262867,0.5202278792296237,1.620435893560158,2.514530111923047,0.6369676740348118,0.7739784467133406,-0.7102638932982114,-0.3749599030885703,-0.012381064239996615,0.694766045769649,0.3002492859017049,0.29335178754045943,1.3549115148608888,-0.9528864486523447,0.26331628959352626,-0.4254723831737516,0.12202195686586312,-0.18029431424767398,1.232663536167008,1.436078159031259,0.02995535829725097,-0.2229210031287253,-0.8589648329570261,0.8284538876011338,-0.4844546800772937,1.1621724403977107,0.41605716624521827,1.3075045790226487,0.7974376348201767,1.0638100455238355,0.22674718977594902,-0.7489771687275129,0.430796530884716,-0.6369402460180259,0.4469981219164558,0.5075688928423037,1.7069248745830428,-0.5956706323927461,0.5957127300311247,-0.8983652921745008,-0.23937689031110326,-0.17571670744983497,-0.25796865345808806
SIDM00496,0.5767134979529012,0.15473876284067484,1.3223477792875784,0.24719484167518038,0.9975733929438712,-0.6184866756249106,0.2654701413972255,0.43914139093936533,1.0439554264930129,-0.7760545702597283,0.29797246847561415,-0.8215780580023221,-0.3927396921467712,-0.4238755815627592,0.21328827216622168,1.3866218596455675,1.686835741105797,0.05526238474989873,-0.44631805695707927,2.108061419484072,-0.29975112741240295,-0.6405024916819875,-0.3579901838186774,0.9059150582004492,0.6403438407236525,0.6751823377097984,1.980288441381602,2.136523455368542,0.9789270379993148,0.626374917030805,-0.8078083613300082,-0.6122871101816207,0.024122731103726154,-0.1889647123087847,-0.00735834398036788,0.4524265560078764,1.2616683565719986,-0.9168723003576363,-0.8829147990760943,-0.3390391150407962,0.1651769512552216,-0.11161489392924133,1.780022195648061,1.4960518179178746,0.13692367749024473,-0.5567688222178165,-0.8200031272808733,1.526627313891519,-0.6854194466993253,0.7320646813877326,0.387274628861292,0.6553679165146098,1.6047538280557396,0.9476414888998311,-0.10433887801417355,-0.7249666793900933,0.4699874073710023,-0.7263287251302911,1.2686286359954895,0.16027884845307025,1.1043234262734594,-0.5345604506654402,-0.12512232573905205,-0.8611017315290606,-0.3829301212687813,-0.2621467979663872,-0.23945467412232055
SIDM00793,0.5732473166332082,0.052665587122480734,0.740494424117672,0.9326384192972516,1.151943147940766,-0.08125825816420185,0.2063535230035233,0.7674590719465808,0.8506562417152093,-0.6075160233837814,0.5409912934623502,0.05279145444059864,-0.6082355166892494,-0.7013746594427962,-0.0908672258709984,0.3842264921268998,2.0908144906190005,-0.00044198029513807855,0.023732910435788995,2.2452544002366737,-0.3192639260160363,-0.5505515226492266,-0.42350009247022363,-0.06513961222242243,0.13620294373048658,0.6247104426911888,2.287540795086324,2.318272696270089,0.9915564613114933,0.5176861475786428,-0.7193324491141205,-0.7598018687951598,-0.46179054074679776,-0.7000460687729747,0.11673715699063883,1.1782432685129518,1.2039598105369214,-0.8574494961806919,-0.8667507119361315,-0.6687216951626792,0.12512052788611946,-0.013792872197822206,-0.8428061813686172,0.654385398479892,-0.18132284775758395,-0.10147552367769987,-0.8135048979196384,-0.008797633548763298,-0.42961557114525706,-0.08695788822173968,-0.26123574477976524,0.5942912135999188,1.6815377520830974,1.0383330214297302,-0.1125915153226039,-0.5400575087485319,0.801030450154058,0.8106866353184085,1.1959893317414207,-0.5525227767613261,1.6068447690253835,-0.4396060076239979,-0.6598358630577885,-0.2087976861447419,-0.0198416787641939,-0.03416857762506847,-0.32707269566168323
