,MTHFD2,GART,TYMS,FTCD,ALDH1L1,MTFMT,AMT,MTHFD2L,SHMT1,MTHFD1L,MTHFD1,MTR,ATIC,MTHFR,SHMT2
SIDM00154,1.7544649783536737,1.1614397331107709,2.1417767493094537,-0.7802538700183671,-0.8298821646791692,-0.21069506253116063,-0.7030492796089344,-0.5596822632396368,0.3840659412359706,2.2312091142085313,1.9132505696817492,0.23124598772870075,1.9340131769494069,0.1727503944845258,1.4134628997734335
SIDM00104,2.7760480436576884,1.3071492594585736,1.3657573643767735,0.040577954887677944,-0.527419734252848,0.2871785234209859,-0.6482649758488905,-0.39277062428128184,-0.07989394650043628,1.8313980651109625,1.3873699074069177,0.3024744556134911,1.7865286085952128,0.5508647625676354,2.5865576807401816
SIDM00267,2.868073953417797,1.419379841441854,2.477384103017073,-0.6674042924776439,-0.7397884309879049,0.10678778118478612,-0.5653573919089154,-0.6806411189731765,0.7631489264630581,1.8109809093093028,2.158163974136669,0.18415758111023348,2.487345342888735,0.2011230556406148,1.8897203026364642
SIDM00100,1.8448205538404765,1.4429880230396483,2.572743814341306,-0.6951341410973746,-0.584382606848267,-0.004908514401562116,-0.7203313990619207,-0.7568891410887091,0.7225529962174878,1.3002894207763256,2.010618549082116,0.150253669801835,1.9779171773882391,0.26549485502649306,1.8047521824726689
SIDM00826,2.3988363574871556,0.982337697960427,0.38657086019194487,-0.7037469217574529,-0.6961421675820749,0.15703691991506755,-0.5669559400329295,-0.3879671504562644,-0.44021916030647296,1.219646077885575,1.500678010985998,0.06071060266387718,2.2010054060964603,0.8774561798961359,1.865680200735599
SIDM00310,-0.33750774234099473,1.0187871285605654,2.059383150581931,-0.7515484208638459,-0.697252046500479,-0.05690256195569075,-0.6654006484156015,-0.6236644473261165,0.5637483209539004,1.2005924493579119,1.7225385546719005,0.16606955657014955,2.201276399401283,0.3936689440715722,2.2098549358932007
SIDM00482,3.029529332466761,1.7642049305647958,2.7917989223560493,-0.6415870148586965,-0.22859196184171476,0.20541987862466224,-0.5335686218455781,-0.6448581445265226,0.4316109699060879,1.688524183398214,2.3084294471813878,0.24072385163472762,2.4579293508688673,0.14698305805523573,2.6126786857371185
SIDM01247,2.705695891534676,1.1173740353391926,2.182444163655818,-0.5801101219853689,-0.709324646602969,-0.011033448864619242,-0.524904913779257,0.4767569533165576,0.2309113687405639,1.957107941100424,2.245955011906588,0.30493803072382963,2.2751500545424945,1.0168586715171335,1.7709610717788893
SIDM00817,2.1299183069058114,1.5693329463746934,2.363114234533823,-0.7279166673358322,-0.7239897511302026,-0.2170145628391165,-0.7046176864851778,-0.7070958572138294,1.1562299565753917,1.492937040251197,1.9485817188022236,0.34083629793733206,2.218176662323454,-0.18666463361120783,2.099626064279505
SIDM00448,3.014689733356582,1.23764170645263,2.853123868369467,-0.5466163733965811,-0.8053525619853265,0.06629692919699562,-0.5907650435132796,-0.6037318099706971,0.2762685985008581,1.8139603279646903,2.163318472881488,0.31980253573576467,2.5334287128563653,0.6149153235184259,2.497950823902212
SIDM00086,1.7159173502522596,1.1946373887998427,2.5341371235470986,-0.7954246180928491,-0.7750959448778586,-0.10246366257375276,-0.6866626763146111,-0.6632153576943326,0.5765119064313554,1.8264880619875015,1.719384972948328,0.2522591053270087,1.504787843358902,0.5959591869267115,1.7002181600623254
SIDM00466,1.8290318175950682,0.9009647151033432,1.7664422288815247,-0.6721399929510626,-0.8494428054408503,-0.20481016033812463,-0.6345416123749673,-0.7133671622294322,1.0968299095579457,0.5102413229228836,1.3817142244981224,0.547618549541962,2.1395754132173397,0.8475627206133477,1.0105403110220517
SIDM01132,3.0523896751574116,1.3429059280980298,2.587740739860366,-0.7408870636462588,-0.7567592890355754,0.18124083229020968,-0.6168386369984428,-0.5685442094307185,0.7637715619800395,1.923294756307815,1.582201318422686,0.17779966262387187,2.0639587815996974,0.5929773328871167,2.5827043942366847
SIDM00465,2.8265418524710246,1.435533829605259,1.9596129353668998,-0.6854539298478907,-0.7098464935047355,-0.1754869962950919,-0.5565019577118249,-0.6523087339200743,0.6388486263098825,2.0686378832448162,2.2928819786774004,0.2508402770218898,2.395781041223158,0.7465175144764228,2.0561435305839004
SIDM00565,2.3980293790476837,1.162263690886711,1.7634240966086252,-0.7084058027000517,-0.780558824124129,0.011299194472637797,-0.6345877320902896,-0.7008765900526683,1.20954259497631,1.373561361660634,1.9819507217825176,0.06800143379264707,2.0598968492016887,0.28923685593032283,1.6473246030728486
SIDM01092,2.4874005683548295,1.3318806377896368,2.6736619658698415,-0.61483907419487,-0.4882840323016733,-0.12454252609092685,-0.6002515278000609,-0.6761586183524146,-0.07827210018485994,1.6336664064122601,2.2359919396771395,0.10230307264836572,2.4509380225001256,0.7929661497496504,2.2097299272586186
SIDM00218,2.860832539477968,0.6115755220813907,0.7526421373853428,-0.7034687854621956,-0.7664067511141113,-0.14756062891053262,-0.5506381128979247,-0.7495046063563667,-0.15782655639001636,1.6144226582355565,1.3927091841612325,0.22778288051836743,1.836140848672834,-0.35980033801541145,2.01483916078627
SIDM00044,1.5254824637635178,0.8739349772878218,3.1944955800262425,-0.5968544856587283,-0.7828510266427261,-0.11876630208724384,-0.5404330966805888,-0.8066247676021608,0.2469123441813403,0.9059312758349721,2.1890679691268056,0.43733452583900295,2.131021483716992,0.5769221375269544,1.6674454976120427
